, 1, DDLJ, 1998, 8, watched, 23
, 2, Phir Hera Pheri, 1999, 10, watched, 2
, 3, Top Gun, 1996, 10, watched, 1
, 4, Conjuring, 2004, 6.5, watched, 4
, 5, Godfather, 1989, 10, watched, 1
, 6, Fight Club, 1999, -, plan to watch, 1
, 7, Inception, 2010, 8.8, watched, 1
, 8, Interstellar, 2014, 8.6, watched, 2
, 9, The Dark Knight, 2008, 9.0, watched, 3
, 10, Avengers:Endgame, 2019, 8.4, watched, 1
, 11, Parasite, 2019, 8.6, watched, 1
, 12, MadMax:Fury Road, 2015, 8.1, watched, 1
, 13, La La Land, 2016, 8.0, watched, 1
, 14, The Social Network, 2010, 7.7, plan to watch, 2
, 15, Joker, 2019, 8.5, plan to watch, 1
, 16, The Revenant, 2015, 8.0, watched, 1
, 16, Whiplash, 2014, 8.5, watched, 1
, 17, The Avengers, 2012, 8.0, watched, 1
, 18, The Departed, 2006, 8.5, watched, 1
, 19, Gravity, 2013, 7.7, watched, 1
, 20, Django Unchained, 2012, 8.4, dropped, 1
, 22, monkey man, 2024, 8.5, watched, 1
, 23, gumraah, 2019, 7.7, watched, 3
